"조서관리코드","프로젝트코드","지자체","조서유형(구분)","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000AGZ199806160994","11000PPL199806168030","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","은평구 신사1동 293번지 일대","신사제1주택재개발구역","14404","","","14339","11000NTC199806168030"
"11000AGZ199806221098","11000PPL199806228038","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성북구 정릉동 236번지 일대","정릉제4주택재개발구역","133052","","","135310","11000NTC199806228038"
"11000AGZ199806251032","11000PPL199806258045","서울특별시","변경","의제처리구역","정비구역","주거환경개선사업구역","동작구 흑석3동 산 70-8","흑석3-1주거환경개선지구","17987","","","17798","11000NTC199806258045"
"11000AGZ200902059425","11000PPL200805291980","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","미근동 8-1일대","마포로4-9도시환경정비지구","2020","2","87.6","1932.4","11000NTC200805291980"
"11000AGZ200902059802","11000PPL200706141128","서울특별시","신설","의제처리구역","정비구역","주택재건축사업","서대문구 홍제동 57-5번지 일대","홍제제1주택재건축정비사업","","1","38404","38404","11000NTC200706141128"
"11000AGZ200902059803","11000PPL200707051226","서울특별시","신설","의제처리구역","정비구역","주택재건축사업","서대문구 홍은동 338-5번지 일대","홍은제2주택재건축정비구역","","1","23946","23946","11000NTC200707051226"
"11000AGZ200902059804","11000PPL200708231373","서울특별시","신설","의제처리구역","정비구역","재건축사업구역","서대문구 홍제동 131-2번지 일대","홍제동131-2번지일대주택재건축정비구역","","1","16139","16139","11000NTC200708231373"
"11000AGZ200501254332","11000PPL200501257618","서울특별시","정정","의제처리구역","정비구역","주택재개발사업구역","은평구 응암동 178번지 일대","응암6구역","25639","","","25662","11000NTC200501257618"
"11000AGZ200501314333","11000PPL200501317636","서울특별시","변경","의제처리구역","정비구역","주거환경개선사업","구로구 가리봉동 25번지 일대","가리봉2-1주거환경개선지구","9106","","","8950.5","11000NTC200501317636"
"11000AGZ200501314335","11000PPL200501317641","서울특별시","정정","의제처리구역","정비구역","주택재개발사업지구","성동구 하왕십리동 1000번지 일대","하왕1-4주택재개발정비지구","","","","41664","11000NTC200501317641"
"11000AGZ201207198154","11000PPL201206076508","서울특별시","신설","의제처리구역","정비구역","재개발사업구역","서대문구 북가좌동 80번지 일대","가재울7주택재개발사업","","1","78991","78991","11000NTC201206076508"
"11000AGZ201207259025","11000PPL201206146512","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","중구 남창동, 남대문로3가, 회현동1가, 충무로1가 일부","남대문구역 도시환경정비사업","68587","1","265.5","68852.5","11000NTC201206146512"
"11000AGZ201602260281","11000PPL201503197439","서울특별시","폐지","의제처리구역","정비구역","주택재건축사업","구로구 개봉동 133-11번지 일대","개봉2 주택재건축 정비구역","33115","2","33115","","11000NTC201503197439"
"11000AGZ201603030282","11000PPL201508067560","서울특별시","변경","의제처리구역","정비구역","주택재건축사업","마포구 공덕동 105-84번지 일대","공덕1 주택재건축","58376.2","1","112","58488.2","11000NTC201508067560"
"11000AGZ201603088742","11000PPL201510087612","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","","전농7재정비촉진구역","151865.5","2","73.1","151792.4","11000NTC201510087612"
"11000AGZ201603098552","11000PPL201411067328","서울특별시","폐지","의제처리구역","정비구역","주택재개발사업구역","중랑구 중화동 329-38번지 일대","중화2구역주택재개발정비사업","140.85","2","140855","","11000NTC201411067328"
"11000AGZ201807230607","11000PPL201806280222","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","노량진동 270-3번지 일대","노량진5재정비촉진구역","36918","1","1219","38137","11000NTC201806280222"
"11000AGZ201308060107","11000PPL201302146754","서울특별시","폐지","의제처리구역","정비구역","주택재건축사업","","정릉3주택재건축정비구역","26084.13","2","26084.13","","11000NTC201302146754"
"11000AGZ200909177771","11000PPL200908063691","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","은평구 응암동 171번지일","응암제3구역주택재개발구역","18618.7","","","18631.7","11000NTC200908063691"
"11000AGZ200909177773","11000PPL200908143722","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","서대문구 홍은동 177번지일대","홍은제10주택재개발구","15572.4","","","15572.4","11000NTC200908143722"
"11000AGZ200909187776","11000PPL200909173833","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","관악구 봉천동 1544-1번지 일대","봉천 제12-1주택재개발구역","28250","","","28259","11000NTC200909173833"
"11000AGZ200909187777","11000PPL200909173833","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","봉천동 1553-1번지 일대","봉천 제12-2주택재개발구역","80421.7","","","80914.5","11000NTC200909173833"
"11000AGZ201106277989","11000PPL201010225494","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","용산구 효창동 117-1번지 일대","효창 제4주택재개발정비사업","10014.6","2","112.88","9901.72","11000NTC201010225494"
"11000AGZ201106279962","11000PPL201007085147","서울특별시","변경","의제처리구역","정비구역","주택재건축사업","영등포구 대림동 929-56번지 일원","대림1 주택재건축정비구역","10682.5","1","2133.5","12816","11000NTC201007085147"
"11000AGZ201106287990","11000PPL201012095725","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","성동구 행당동 100번지 일대","행당제6주택재개발정비구역","49240","1","567.6","49807.6","11000NTC201012095725"
"11000AGZ201311019084","11000PPL201301036719","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업구역","영등포구 영등포동5가 32-8일대","영등포1-13재정비촉진구역","25742.3","1","1.8","25744.1","11000NTC201301036719"
"11000AGZ201806080489","11000PPL201804120072","서울특별시","폐지","의제처리구역","정비구역","주택재건축사업","동대문구 제기동 136","주택재개발 정비예정구역","55000","","55000","","11000NTC201804120072"
"11000AGZ201806080490","11000PPL201710108304","서울특별시","폐지","의제처리구역","정비구역","주택재건축사업","충정로동 281-18","정비예정구역","9000","","9000","","11000NTC201710108304"
"11000AGZ201707048621","11000PPL201604147753","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","동작구 대방동 13-31 일대","주택재개발사업","33613","2","458.5","33154.5","11000NTC201604147753"
