순번,정비 구역명,시군구명,법정동명,번,지,지목,지구유형,사업시행방식,시행자 구분,시행단계,정비유형,생활권유형,정비구역 면적(제곱미터),용적률,건폐율,기본계획명,고시번호,고시일
12,봉천제13구역 주택재개발정비사업,관악구,봉천동,922,1,대,정비(예정)구역,주택정비형재개발,조합(단독),추진위구성,,,"12,273",283,47,,제2009-537호,2009-12-24
13,봉천제14구역 주택재개발정비사업,관악구,봉천동,1,0,대,정비(예정)구역,주택정비형재개발,조합(단독),조합설립인가,전면,,"74,209",250,22,,서울특별시고시 제2014-222호,2014-06-19
14,신림1재정비촉진구역 주택재개발정비사업,관악구,신림동,808,495,하천,재정비촉진지구,주택정비형재개발,공동(조합조합이외의자),조합설립인가,전면,D(뉴타운),"224,774",225,22,신림 재정비촉진지구 신림1재정비촉진계획,2020-제3580호,2020-04-23
15,신림미성아파트 재건축정비구역,관악구,신림동,1656,0,대,정비(예정)구역,재건축,조합(단독),조합설립인가,,,"16,706",248,21,,제2010-456호,2010-12-16
16,미성동 건영아파트 주택재건축정비사업,관악구,신림동,746,43,대,정비(예정)구역,재건축,조합(단독),조합설립인가,,,"20,789",250,21,,지정고시 2018363호,2018-11-08
17,개봉3재건축정비사업,구로구,고척동,311,14,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"116,473",250,23,도시주거환경정비,서울특별시고시 제2010179호,2010-05-13
18,신도림동 293번지 일대 도시환경정비사업,구로구,신도림동,293,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"196,648",,60이하,,제2012-286호,2012-10-25
19,상계2재정비촉진구역 주택재개발 정비사업,노원구,상계동,111,266,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,,D(뉴타운),"100,842",243,30,,제2008309호,2008-09-11
20,상계5재정비촉진구역,노원구,상계동,109,43,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,,D(뉴타운),"109,970",261,25,,제3124호,2012-08-02
21,제기제4구역 주택재개발정비사업,동대문구,제기동,288,0,대,정비(예정)구역,주택정비형 재개발,조합(단독),사업시행인가,전면,C(대생활권),"33,486",250,30,도시주거환경정비,서울특별시 동대문구고시 제201050호,2010-07-15
22,제기제6주택재개발 정비구역,동대문구,제기동,120,104,대,정비(예정)구역,주택정비형 재개발,공동(조합조합이외의자),사업시행계획인가,전면,C(대생활권),"24,321",244,25,도시주거환경정비,서울특별시고시 제200957호,2009-02-12
23,청량리제6주택재개발정비구역,동대문구,청량리동,205,0,대,정비(예정)구역,주택정비형 재개발,조합(단독),조합설립인가,전면,C(대생활권),"83,883",234,25,도시주거환경정비,서울특별시 동대문구 고시 제202025호,2020-03-19
24,신설제1구역 공공재개발 정비사업 주민대표회의,동대문구,신설동,92,5,대,정비(예정)구역,주택정비형 재개발,주택공사등,사업시행자(LH) 지정,,,"11,204",219,23,도시주거환경정비,서울특별시고시 제2008383호,2008-10-30
25,청량리제8구역 주택재개발정비사업,동대문구,청량리동,435,0,대,정비(예정)구역,주택정비형 재개발,조합(단독),조합설립인가,전면,B(중생활권),"29,314",247,16,도시주거환경정비,서울특별시고시 제201113호,2011-01-13
26,전농8구역추진위원회,동대문구,전농동,204,0,대,뉴타운지구,(촉)재개발,조합(단독),추진위구성,전면,,"93,697",230,20,,서울특별시고시 제2008233호,2008-07-10
27,이문4재정비촉진구역,동대문구,이문동,86,1,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,,,"151,388",317,35,,서울특별시고시 제20099호,2009-03-12
28,전농 재정비촉진구역,동대문구,전농동,494,0,대,균형발전촉진지구,(촉)도시환경정비,조합(단독),조합설립인가,,,"27,623",745,59,,서울특별시고시 제201240호,2012-02-23
29,청량리재정비촉진지구 용두1구역 도시정비형재개발사업,동대문구,용두동,26,0,대,균형발전촉진지구,(촉)도시환경정비,조합(단독),사업시행계획인가,전면,,51707,,,,제2007-129호,2007-05-17
30,전농12주택재개발정비구역,동대문구,전농동,643,0,대,정비(예정)구역,(촉)재개발,조합(단독),추진위구성,전면,,"16,237",240,24,도시주거환경정비,제2021-589호,2021-10-21
31,용두-01,동대문구,용두동,92,1,대,정비(예정)구역,도시정비형 재개발,토지등소유자,정비구역지정,,,"4,068",,,,,
32,용두-02,동대문구,용두동,90,1,대,정비(예정)구역,도시정비형 재개발,토지등소유자,정비구역지정,,,"4,378",,,,,
33,용두-06,동대문구,용두동,52,1,대,정비(예정)구역,도시정비형 재개발,조합(단독),추진위구성,,,"2,281",,,,,
34,용두제7 도시환경정비사업구역,동대문구,용두동,53,6,대,정비(예정)구역,도시정비형 재개발,조합(단독),추진위구성,,,"2,933",486,46,,서울특별시 제2001215호,2001-06-28
35,용두-08,동대문구,용두동,45,1,대,정비(예정)구역,도시정비형 재개발,토지등소유자,정비구역지정,,,"4,729",,,,,
36,장안현대아파트,동대문구,장안동,95,1,대,정비(예정)구역,재건축(공동),토지등소유자,사업시행인가,,,"25,244",300,,,,
37,흑석1 재정비촉진구역 주택재개발정비사업,동작구,흑석동,103,1,하천,재정비촉진지구,(촉)재개발,조합(단독),추진위구성,전면,C(대생활권),"26,675",,,,서울특별시고시 제2008307호,2008-09-11
